600.005,vickjeong,T1 멸망 10분 전
606.887,ehdgus325,꿀잼경기 가자
609.595,toranee,오늘도 폰이 분석데스크나와서 평해주면 좋겠다
613.984,생각나는사람,담원 기대되네 과연
615.652,Rabby112,ㄹㅇ ㅋㅋ
618.901,peachh100,한국인이면 담원 응원하자 제발 ㅠㅠ
619.87,킼킼0ㅣ,조이 벤이나 하라고 제발 조이한테 털리지말고
622.13,저섭프,T1 카운터 나왔다
622.262,하늘호랑이,T1 담원 화이팅
623.856,gtagftt123,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
632.458,bluewhalemily,안녕하십니까
633.064,얄리얄리얄라셩얄라리얄라,담원도 기대되고 t1도 기대된다
640.008,뭐하쉔,담원 화이팅!!!!!!!!
656.123,필멸자여,킹쇼메이커!
662.201,alcol45,담원이교라
668.49,gremlin1201,please win DWG show T1 the power of IpI style
669.362,욍윗,우왕
689.061,officinegenerale,눕는팀 VS 싸우는 팀
697.548,kdjung,준
705.033,maelsechnail,요새 T1 엘림으로 바꾸고나서는 잘싸우던데
706.023,마인러쉬,세계대회가면 우승 못하나요?
708.624,hjy1112,식
711.079,ㅗ라이언ㅗ,치킨머그면서봐야지
714.705,한달뒤에보자,밤밤밤밤밤
715.989,음찢마,^1SS7^
731.368,zkfmtia,담원하고 t1 빅매치네 ㅋㅋ개꿀잼예상
739.846,ahri_attrox,페이커님이 이블린슈퍼토스만 안하시면 이길거같아요
741.966,bottle_fe,T1 멸망 7분 전 ㅋㅋㅋㅋㅋ
753.25,bluewhalemily,t1 그들은 연속으로 이길 수 있습니까
753.591,passion6,담원이 1SS7 새로 갱신하고 2대0 승리
756.24,ntheoryb2,오늘 개재밌겠네ㅋㅋ
758.232,xx0xx715,초반에 터질디 안터질지 궁금하당
767.013,서나락,불좀꺼줄래 내램좀보게
770.344,heod9,학교 끝나고 집 도착해쓰~!
770.392,Rainmaker0514,아 망할
773.475,kyw40,ㅘ
784.902,cielazer,제발 담원이 또 이겨줬으면 좋겟다 t1 눕는거 지겨움
793.824,다음주부터,빨간 팀이 다 지겠네
804.44,naegachoigoda,티원 서머 들어서 누운적 몇번 있다고 그럼
814.766,케리온,고스트 파이팅
821.118,단수_,티원 화이팅
823.585,금니의겨털고데기,T1 이 그래도 근본팀인데 욕하지마라
827.431,officinegenerale,Sleep Team ResidentSleeper VS Fight Team
831.373,헌혈왕자,오우
835.493,vickjeong,담원화이팅!!! 발라버려~
836.629,유교_,t1 담원 개꿀잼이겠다
846.282,스쿨사또,T1황;ㅣ팅
847.264,hunminmam41,ㅇ
860.312,파랑카우,담원 화이팅!!
862.597,예지_0414,이번에 커즈 나오냐?
864.29,alsals1254,응 담원이 이겨
867.071,충실한텔식이,"야, 페이커 불끌게"
868.141,장래희망페블랑분신,이렇게 욕하는애들 많아도 결승 경기장가면 티원석만 꽉차있더라 ㅋㅋㅋ자리없어서 상대팀 앉음
869.762,아ㅏ아안,t1 ㅎㅇㅌ
870.216,wangtokki,담원 가즈아
870.878,매렁맨,여기 괴물이 있어요
873.343,_모딱짱,ㅎㅇ
874.882,턱ㅋ,응 슼이 개처바름
878.816,마마젠,T1 이겨라
880.096,2anis,엟ㄱㆍ
882.692,gremlin1201,i prefer the fighting style tbh i hope DWG shows that today
883.268,wineyo,꿀잼 경기네ㅋㅋㅋㅋ
883.704,싹둑,▣ 채팅방 상황에 따라 슬로우 모드 적용이 이루어질 수 있습니다. ▣ 비속어 및 도배 등에 대해서는 필터링이 진행 중이니 매너 채팅 부탁드립니다. (_ _) ▣
886.926,mynameisyeri,Boring Team VS Exciting Team
889.608,marinlee1,응 담원이 이겨
892.643,진느의구름,담원이 개쳐바름
